,1,,,,2,,,,3,,,
108900,0,48.68319218,40.65079,41.76052477,0,48.68363374,40.65126932,41.76088454,0,48.70737749,40.67622112,41.80916263
109800,0,48.7252733,40.69351851,41.80791781,0,48.72573194,40.69401491,41.80829343,0,48.75015976,40.71965448,41.85724034
110700,0,48.76689203,40.73574864,41.85469122,0,48.76736773,40.7362621,41.85508274,0,48.79247819,40.76258803,41.90469851
111600,0,48.80804999,40.77748387,41.90085065,0,48.80854274,40.77801439,41.90125812,0,48.83433438,40.8050252,41.95154267
112500,0,48.70291532,40.64627849,41.72564405,0,48.70339729,40.64680632,41.72602842,0,48.72835232,40.67303737,41.77581922
113400,0,48.73186886,40.67539019,41.75609298,0,48.732372,40.67593881,41.75649665,0,48.75813045,40.70297766,41.80710556
114300,0,48.76050908,40.70417926,41.78619432,0,48.7610335,40.70474881,41.78661751,0,48.78758675,40.73258667,41.83803637
115200,0,48.7888461,40.73265632,41.81595866,0,48.78939191,40.73324691,41.81640155,0,48.81673138,40.76187503,41.86862225
116100,0,48.888081,40.84239129,41.91836022,0,48.88866941,40.84302175,41.9188482,0,48.91783965,40.87349164,41.97309938
117000,0,48.92337374,40.87791978,41.9562901,0,48.92398163,40.8785697,41.95679655,0,48.95387136,40.90976201,42.01177854
117900,0,48.95830596,40.91307448,41.99378248,0,48.95893332,40.91374386,41.99430744,0,48.98953782,40.94565383,42.050016
118800,0,48.99288631,40.94786485,42.03084802,0,48.99353328,40.94855373,42.03139169,0,49.02484785,40.98117654,42.08782257
119700,0,48.85628313,40.80469163,41.89477703,0,48.85687272,40.8053248,41.89526069,0,48.88498992,40.83474056,41.94872271
120600,0,48.85655638,40.8058999,41.89952027,0,48.85716334,40.80655017,41.90001996,0,48.88584632,40.83653513,41.95405442
121500,0,48.85595535,40.80618056,41.90325746,0,48.8565798,40.80684804,41.90377334,0,48.88583271,40.83740615,41.95838315
122400,0,48.85451404,40.80556829,41.90602182,0,48.85515527,40.80625226,41.90655326,0,48.88496549,40.83737008,41.96172567
123300,0,48.85891084,40.81329407,41.94821419,0,48.85959287,40.81401857,41.94878572,0,48.89060709,40.84635695,42.00479825
124200,0,48.85819425,40.81336341,41.95183859,0,48.8588941,40.81410547,41.95242689,0,48.89042848,40.84696377,42.00896037
125100,0,48.85669947,40.81260176,41.95453753,0,48.85742031,40.81336468,41.95514563,0,48.88947481,40.84674245,42.01219924
126000,0,48.8539399,40.81050419,41.95585642,0,48.8546939,40.81130059,41.95649576,0,48.88766303,40.84560686,42.01443925
126900,0,48.79561906,40.74515945,41.87874807,0,48.79645252,40.74603876,41.87945182,0,48.83212564,40.78306167,41.93980844
127800,0,48.77606743,40.7259616,41.86207609,0,48.77692331,40.72686314,41.86280194,0,48.81325162,40.76454435,41.92385538
128700,0,48.75638701,40.70661352,41.84509696,0,48.75726557,40.70753755,41.84584514,0,48.79424193,40.74586953,41.90758641
129600,0,48.73659895,40.6871377,41.82784026,0,48.73750038,40.68808442,41.82861096,0,48.77511854,40.72706057,41.89103214
130500,0,48.74233553,40.69738421,41.8866097,0,48.74324402,40.69833675,41.88739127,0,48.78084513,40.73726452,41.94935315
131400,0,48.72756635,40.68305721,41.87504522,0,48.7284997,40.68403456,41.87585065,0,48.76674719,40.72361138,41.93845585
132300,0,48.712477,40.66838024,41.86300899,0,48.71343488,40.66938206,41.86383804,0,48.75231258,40.70959098,41.92707253
133200,0,48.69711785,40.65340593,41.85054884,0,48.69810011,40.65443208,41.85140173,0,48.73759631,40.6952609,41.91525874
134100,0,48.71500184,40.67805674,41.88858472,0,48.71596873,40.67906564,41.88943143,0,48.75510707,40.71952939,41.95307511
135000,0,48.71424561,40.67809632,41.89111227,0,48.7152298,40.67912237,41.89197611,0,48.75476108,40.71997661,41.95602582
135900,0,48.71265293,40.67724786,41.89271387,0,48.71365742,40.67829416,41.89359763,0,48.75357636,40.71953292,41.95804615
136800,0,48.70947144,40.6747316,41.89268871,0,48.71051353,40.67581608,41.89360847,0,48.75126416,40.71789874,41.95886642
137700,0,48.76128763,40.73980695,42.01026134,0,48.76240236,40.74096234,42.01126063,0,48.80423198,40.78416003,42.07721741
138600,0,48.76958759,40.74900662,42.02332126,0,48.7707169,40.75017645,42.0243357,0,48.81286938,40.79368806,42.09060398
139500,0,48.77721691,40.7574842,42.03553461,0,48.77836111,40.7586688,42.03656448,0,48.82084467,40.80250272,42.10315189
140400,0,48.78417151,40.76523529,42.04690141,0,48.78533092,40.766435,42.04794701,0,48.82815441,40.81060036,42.11486193
141300,0,48.06359691,39.86700416,41.51933328,0,48.0649751,39.86851016,41.5205576,0,48.11460746,39.91962428,41.59084403
142200,0,48.00744966,39.81080412,41.47343296,0,48.0088459,39.81232914,41.4746793,0,48.05900598,39.863973,41.54547203
143100,0,47.95136717,39.75465186,41.42691256,0,47.95278122,39.75619556,41.42818014,0,48.00346181,39.80836223,41.49946006
144000,0,47.89533147,39.6985323,41.37968966,0,47.89676451,39.70009576,41.3809823,0,47.94800585,39.75282436,41.45288104
144900,0,47.95361351,39.76197501,41.42040582,0,47.95504923,39.76353774,41.42171259,0,48.00614795,39.81612596,41.49403421
145800,0,47.90630331,39.71465552,41.38193561,0,47.90775663,39.71623639,41.38326461,0,47.95939292,39.76936289,41.45612625
