,1,,,,2,,,,3,,,,,,,
57600,1,48.00901412,39.81243977,41.42098632,0,47.95504923,39.76353774,41.42171259,0,48.00697359,39.81697883,41.49527928,0,47.95430153,39.76270617,41.41953724
58500,0,47.90798431,39.71641206,41.3825547,0,47.90775663,39.71623639,41.38326461,0,47.96022593,39.77022281,41.45738025,0,47.90700835,39.715405,41.38110514
59400,0,47.86073092,39.66913685,41.3432711,0,47.86049481,39.66895238,41.34395162,0,47.9135424,39.72351669,41.4187319,0,47.85975199,39.66812706,41.34182857
60300,0,47.8135492,39.62192122,41.30324696,0,47.8133057,39.62172896,41.30390185,0,47.86692197,39.67686187,41.37931618,0,47.81256658,39.62090799,41.30180925
61200,0,47.80538834,39.62543328,41.29760038,0,47.80514364,39.62523657,41.29820603,0,47.85907282,39.68065737,41.37412162,0,47.80441265,39.62442826,41.29618435
62100,0,47.76200874,39.58211682,41.26172827,0,47.7617581,39.58191375,41.2623118,0,47.8162469,39.63789422,41.33882877,0,47.76102973,39.58110875,41.26031708
63000,0,47.71872677,39.53888267,41.22518523,0,47.7184703,39.53867334,41.2257478,0,47.77351576,39.59521075,41.30285437,0,47.71774416,39.53787126,41.22377781
63900,0,47.67556297,39.49575257,41.18805951,0,47.67529913,39.49553533,41.18859825,0,47.73090487,39.55263389,41.26629937,0,47.67457681,39.4947379,41.18665571
64800,0,47.71833905,39.5620243,41.24679253,0,47.71806991,39.56179456,41.24723323,0,47.77350046,39.61866806,41.32489202,0,47.71737229,39.5610315,41.24543435
65700,0,47.68401137,39.52800138,41.22144013,0,47.68374619,39.52777585,41.22188439,0,47.7396808,39.58515015,41.29997512,0,47.68303995,39.52700402,41.22008139
66600,0,47.64984013,39.49411744,41.19551063,0,47.64957076,39.49388734,41.1959374,0,47.70605104,39.55180745,41.27456948,0,47.64886658,39.49311825,41.19415771
67500,0,47.61570756,39.46024652,41.16875168,0,47.61543433,39.46001221,41.16916278,0,47.67246017,39.51847825,41.24833271,0,47.61473157,39.45924518,41.16740336
68400,0,47.57858152,39.4238209,41.14798279,0,47.57830282,39.42358013,41.14837242,0,47.63586139,39.4825705,41.22794814,0,47.57760298,39.42281742,41.14663962
69300,0,47.54450025,39.38994592,41.12001451,0,47.54421723,39.38970046,41.12038935,0,47.60231209,39.44922737,41.20048701,0,47.54351908,39.38894008,41.11867465
70200,0,47.51049469,39.35612697,41.09146921,0,47.51020704,39.35587649,41.09182921,0,47.56883797,39.41593991,41.17244798,0,47.50951084,39.3551187,41.09013218
71100,0,47.47656896,39.3223695,41.06241438,0,47.47627569,39.32211296,41.06275774,0,47.53544431,39.38271483,41.14390253,0,47.4755825,39.32135887,41.06108007
72000,0,47.2937429,39.09119831,40.89321284,0,47.29335637,39.09085539,40.89351022,0,47.35433919,39.15339618,40.97612952,0,47.29271713,39.09014492,40.89181427
72900,0,47.24405085,39.04111152,40.84088983,0,47.2436522,39.04075589,40.84116756,0,47.30516873,39.10383178,40.92433866,0,47.24301845,39.04005158,40.83948516
73800,0,47.19471513,38.99139738,40.78907245,0,47.1943048,38.99102954,40.78933182,0,47.25635322,39.05463876,40.87305248,0,47.19367604,38.99033084,40.78766151
74700,0,47.14572684,38.94204607,40.73773999,1,47.29335637,39.09085539,40.73798218,0,47.20788372,39.00580723,40.82225011,0,47.14468102,38.94097285,40.73632264
75600,1,47.24405085,39.04111152,40.54737375,1,47.2436522,39.04075589,40.5475967,0,47.04591599,38.81622416,40.63349793,0,46.98129707,38.74981561,40.54589095
76500,1,47.19471513,38.99139738,40.48420716,1,47.1943048,38.99102954,40.48441518,1,47.25635322,39.05463876,40.57088231,0,46.92347471,38.69127775,40.48271572
77400,1,47.14572684,38.94204607,40.42184027,0,46.86671845,38.63391385,40.42203474,1,47.20788372,39.00580723,40.50906417,0,46.86612541,38.6332447,40.42033997
78300,0,47.36159705,39.08625544,40.75437102,0,47.36164888,39.08633915,40.75494709,1,47.04591599,38.81622416,40.4480062,1,46.98129707,38.74981561,40.75423826
79200,0,47.1439319,38.79692452,40.4666378,0,47.14388464,38.796922,40.46728346,0,47.12340343,38.77902366,40.47829534,1,46.92347471,38.69127775,40.46640614
80100,0,47.13135915,38.78170441,40.43859336,0,47.13129408,38.78168402,40.43921045,0,47.11100444,38.76395267,40.44990833,1,46.86612541,38.6332447,40.43837552
81000,0,47.11996006,38.7677604,40.41273521,0,47.1198788,38.7677238,40.41332939,0,47.09981688,38.75019672,40.4238146,0,47.12030702,38.76806144,40.412527
81900,0,47.10969156,38.75504888,40.38890677,0,47.10959468,38.75499665,40.3894806,0,47.08978866,38.73770109,40.3998281,0,47.11003379,38.75534547,40.38870503
82800,0,46.66617269,38.1606839,39.8478747,0,46.66586147,38.16043675,39.84843556,0,46.64553379,38.14261001,39.85771242,0,46.66642174,38.16087784,39.84747476
83700,0,46.63366989,38.12525682,39.79754133,0,46.63333908,38.12498895,39.79807341,0,46.61333136,38.10753942,39.80750535,0,46.63391151,38.12544191,39.79714538
84600,0,46.60211048,38.09075805,39.74913487,0,46.60176226,38.09047329,39.74964266,0,46.5820896,38.07337999,39.75926556,0,46.60234386,38.0909345,39.74874115
85500,0,46.57147124,38.05731194,39.70247004,0,46.57110618,38.05701181,39.70296817,0,46.55178106,38.04023611,39.71280143,0,46.57169648,38.05748011,39.70206893
86400,0,47.03513497,38.61381999,40.17858731,0,47.03483626,38.61356638,40.17896671,0,47.01934907,38.60014703,40.19162595,0,47.03536961,38.61401324,40.17830687
87300,0,46.38618334,37.9636846,39.64431006,0,46.38648605,37.96428733,39.64453787,0,46.40246147,37.980882,39.67769251,0,46.37777896,37.95545315,39.63667037
88200,0,46.42278462,37.99908544,39.65772173,0,46.42311314,37.99971328,39.65797468,0,46.44025878,38.01753066,39.69296175,0,46.41383079,37.99028042,39.64946273
89100,0,46.45986178,38.03498381,39.67367446,0,46.46021664,38.03563738,39.67395288,0,46.4785141,38.0546555,39.71065427,0,46.45035097,38.02559857,39.66479663
90000,0,46.49729582,38.07126083,39.69175671,0,46.4976776,38.07194074,39.6920611,0,46.51713033,38.09216228,39.73043447,0,46.48722313,38.06129106,39.68225971
90900,0,47.38943981,39.21457551,40.19065564,0,47.38996356,39.21512359,40.19100549,0,47.41898419,39.24480699,40.24136075,0,47.37474086,39.19969642,40.17639329
91800,0,47.4578567,39.28245209,40.23808839,0,47.45841163,39.28303156,40.23846629,0,47.48826936,39.31357758,40.2899308,0,47.44280185,39.26721009,40.22341609
92700,0,47.5265475,39.3505949,40.2868069,0,47.52713377,39.35120588,40.28721304,0,47.55781683,39.38260172,40.33975448,0,47.51113692,39.33499016,40.27172788
93600,0,47.59542548,39.41891859,40.33665559,0,47.59604356,39.41956184,40.33709043,0,47.62753986,39.45179452,40.39067565,0,47.57965992,39.40295193,40.32117399
94500,0,48.34225755,40.19153821,41.10772302,0,48.34289005,40.19219707,41.10820558,0,48.3785083,40.22846795,41.16633901,0,48.32385743,40.17290697,41.08956504
95400,0,48.44359864,40.29305699,41.2030464,0,48.44425882,40.2937433,41.20355543,0,48.48068954,40.33084816,41.26269708,0,48.42480766,40.27402843,41.18442562
96300,0,48.54475223,40.39437656,41.29857461,0,48.54544015,40.39509036,41.29911017,0,48.58267044,40.43301546,41.35923208,0,48.52557568,40.37495612,41.27950178
97200,0,48.64568977,40.49546882,41.39424857,0,48.64640548,40.49621018,41.39481075,0,48.68442404,40.53494342,41.45588826,0,48.62613234,40.47566135,41.3747332
98100,0,48.72598283,40.57632711,41.42902243,0,48.72671809,40.57708847,41.42960422,0,48.76578514,40.61691399,41.49237367,0,48.70606829,40.55616135,41.40910878
99000,0,48.82597589,40.6764265,41.52429944,0,48.82673866,40.67721514,41.52490761,0,48.86659472,40.71784853,41.58861934,0,48.80568531,40.65587873,41.50395526
99900,0,48.92569782,40.77624576,41.61960143,0,48.92648818,40.77706175,41.62023607,0,48.96712456,40.81849363,41.68487115,0,48.90503483,40.75531976,41.59883384
100800,0,49.02513352,40.87577017,41.71489305,0,49.02595154,40.87661358,41.71555424,0,49.06736033,40.91883539,41.78109554,0,49.00410149,40.85446946,41.69370855
101700,0,50.26063638,42.159416,43.09562502,0,50.26139447,42.16018054,43.09628612,0,50.30723885,42.20651624,43.1661391,0,50.23553523,42.13392514,43.07024005
102600,0,48.52137378,40.49265818,41.59671958,0,48.52170024,40.49301776,41.59698148,0,48.54088364,40.51337101,41.64069834,0,50.37310826,42.27218011,43.21199659
103500,0,48.56756978,40.54012476,41.65107851,0,48.56791231,40.54050037,41.65135498,0,48.58776795,40.56152516,41.6956963,0,48.55704701,40.52915286,41.63954492
104400,0,48.61341498,40.58717327,41.70485167,0,48.61377336,40.58756471,41.70514256,0,48.63429689,40.6092562,41.75010761,0,48.60251456,40.57582924,41.69296468
