,1,,,,2,,,,3,,,,4,,,
64800,0,47.71725472,39.5610063,41.24649626,0,47.71654001,39.56016976,41.24578862,0,47.71806991,39.56179456,41.24723323,0,47.77074892,39.61562148,41.32212733
65700,0,47.68292369,39.5269801,41.22114002,0,47.6822031,39.52613769,41.22042683,0,47.68374619,39.52777585,41.22188439,0,47.73691709,39.58209217,41.29719962
66600,0,47.64873994,39.49308303,41.19518288,0,47.64801277,39.49223399,41.19446229,0,47.64957076,39.49388734,41.1959374,0,47.70327384,39.54873662,41.27178008
67500,0,47.61459539,39.45919954,41.16839864,0,47.61386171,39.45834396,41.16767093,0,47.61543433,39.46001221,41.16916278,0,47.66966902,39.51539404,41.24552871
68400,0,47.57745497,39.42275862,41.14759808,0,47.57671454,39.4218963,41.14686303,0,47.57830282,39.42358013,41.14837242,0,47.63305591,39.47947263,41.22512866
69300,0,47.54336161,39.38887096,41.1196059,0,47.54261477,39.38800219,41.11886392,0,47.54421723,39.38970046,41.12038935,0,47.59949214,39.44611551,41.19765258
70200,0,47.50934374,39.3550391,41.09103685,0,47.50859052,39.35416392,41.09028802,0,47.51020704,39.35587649,41.09182921,0,47.56600328,39.41281376,41.16959836
71100,0,47.47540477,39.32126774,41.06195648,0,47.47464514,39.3203861,41.06120071,0,47.47627569,39.32211296,41.06275774,0,47.53259461,39.37957406,41.14103745
72000,0,47.29248484,39.09001694,40.89270704,0,47.29165024,39.08900575,40.89188088,0,47.29335637,39.09085539,40.89351022,0,47.35124674,39.14990007,40.9730515
72900,0,47.24277375,39.03991053,40.84035725,0,47.24192874,39.03888852,40.83951965,0,47.2436522,39.04075589,40.84116756,0,47.30204491,39.10030367,40.92122624
73800,0,47.19341941,38.99017724,40.7885144,0,47.19256412,38.98914457,40.78766555,0,47.1943048,38.99102954,40.78933182,0,47.2531983,39.05107897,40.86990616
74700,0,47.14441289,38.9408072,40.73715765,0,47.14354744,38.93976401,40.73629775,0,47.14530523,38.94166645,40.73798218,0,47.20469796,39.00221603,40.81907038
75600,0,46.98100295,38.74963979,40.54677111,0,46.98007754,38.74852193,40.54585362,0,46.98189715,38.75049281,40.5475967,0,47.04254777,38.81239974,40.63015097
76500,0,46.92316956,38.69109056,40.48358287,0,46.92223214,38.6899607,40.48265243,0,46.92407092,38.69195055,40.48441518,0,46.98521806,38.75435777,40.56749458
77400,0,46.86580991,38.63304675,40.42119565,0,46.86486084,38.63190433,40.42025256,0,46.86671845,38.63391385,40.42203474,0,46.92836052,38.6968179,40.50563633
78300,0,47.36172539,39.08644665,40.75498699,0,47.3619778,39.08646409,40.75511031,0,47.36164888,39.08633915,40.75494709,0,46.87196173,38.63976494,40.44453885
79200,0,47.14400288,38.79708174,40.46738527,0,47.14416846,38.79692107,40.4674422,0,47.14388464,38.796922,40.46728346,0,47.12423162,38.77915083,40.47868488
80100,0,47.13140935,38.78184198,40.43931837,0,47.13156432,38.78167217,40.43937203,0,47.13129408,38.78168402,40.43921045,0,47.11180148,38.76404941,40.45029742
81000,0,47.11999066,38.76787951,40.41344198,0,47.12013448,38.76770004,40.413491,0,47.1198788,38.7677238,40.41332939,0,47.10058082,38.75026119,40.42419746
81900,0,47.10970288,38.75514978,40.38959691,0,47.10983565,38.75496016,40.38964068,0,47.10959468,38.75499665,40.3894806,0,47.09051779,38.73773169,40.40020021
82800,0,46.66609339,38.16072158,39.84868689,0,46.66608172,38.16009902,39.84856793,0,46.66586147,38.16043675,39.84843556,0,46.64567294,38.14158238,39.85755439
83700,0,46.63356244,38.12527053,39.79832287,0,46.63353652,38.12464737,39.79819136,0,46.63333908,38.12498895,39.79807341,0,46.61342115,38.10647269,39.80730525
84600,0,46.60197633,38.09074746,39.74988938,0,46.60193503,38.090114,39.74974488,0,46.60176226,38.09047329,39.74964266,0,46.58212922,38.07227278,39.75902229
85500,0,46.57131051,38.05727646,39.70321086,0,46.57125307,38.05662644,39.70305287,0,46.57110618,38.05701181,39.70296817,0,46.55176871,38.03907661,39.71251365
86400,0,47.03491223,38.61370974,40.17909636,0,47.03487992,38.61331088,40.17900553,0,47.03483626,38.61356638,40.17896671,0,47.01949226,38.59951812,40.19153427
87300,0,46.38618334,37.9636846,39.64431006,0,46.38648605,37.96428733,39.64453787,0,46.40246147,37.980882,39.67769251,0,46.37777896,37.95545315,39.63667037
88200,0,46.42278462,37.99908544,39.65772173,0,46.42311314,37.99971328,39.65797468,0,46.44025878,38.01753066,39.69296175,0,46.41383079,37.99028042,39.64946273
